Fe,C,O,Mg,Si,Ca,Ti,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk_num,f_spec,f_spec_num,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_name_class
0.02,-0.01,,0,-0.01,0.13,0.09,,301.41,-42.26,-10.78,2.04,70.74,71.58,0,2,26,9.65,0.8,9999,9999,9999,5476,4.63,0
-0.11,-0.08,-0.14,-0.08,-0.1,-0.04,-0.06,-0.22,2.07,-14.82,8.27,-15.23,-21.11,27.31,1,2,21,7.03,0.62,2.5,1.7,-7.4,5913.2,4.57,0
-0.06,-0.25,-0.15,0.08,0.11,0.03,-0.05,0.5,2.07,-8.82,44.17,-80.43,-62.87,111.23,1,1,11,5.99,1.03,22.2,1.3,-21.6,4850.5,2.87,0
0.13,,,,0.1,,0.17,,301.42,48.57,-6.32,1.11,-49.92,50.33,1,2,20,7.44,0.66,7.8,-16.4,15.7,5835.7,4.21,0
0.09,-0.06,0.08,0.42,0.32,0.37,0.37,0.65,104.32,58.42,13.03,9.84,52.18,54.67,1,2,22,4.35,0.85,-17,-28.3,-6.8,5024.4,2.96,0
0.19,0.13,0.16,0.03,0.09,0.25,0.14,,2.11,6.62,-18.57,31.22,12.59,38.45,1,2,22,7.59,0.63,-14.2,-7,-3.8,5861,4.28,0
-0.09,-0.25,,-0.17,-0.14,0.02,0.13,,203.58,-36.52,-10.65,7.68,31.45,34.08,0,1,13,9.38,1.03,9999,9999,9999,4738,4.27,0
0.15,0.2,0.12,0.12,0.12,0.14,0.1,,150.85,47.13,-97.2,-5.26,-0.43,97.34,1,2,25,8.96,0.65,18.3,-21,-16.1,,,0
-0.11,0.03,,-0.1,-0.12,-0.04,-0.04,,301.45,-15.76,-52.61,7.41,2.57,53.19,0,2,23,8.44,0.61,9999,9999,9999,5825,4.5,0
-0.5,,-0.41,-0.31,-0.48,-0.42,-0.44,,315.74,-7.32,-0.46,50.36,-85.47,99.21,1,3,33,8.21,0.42,-11.3,19.1,-32.6,6398.7,4.14,0
-0.18,0.09,-0.07,-0.09,-0.17,-0.12,-0.13,-0.12,2.17,36.63,-8.76,12.81,-28.49,32.45,1,3,37,6.22,0.5,27.2,-10.4,-7.7,6168.4,4.11,0
0.2,0.43,0.22,0.14,0.28,0.17,0.22,,104.36,-60.85,24.67,20.25,73.5,80.13,1,2,20,8.39,0.61,-9.2,-31.6,-6.4,6166,4.09,0
-0.18,,-0.12,0.01,-0.15,-0.14,-0.1,,203.64,-38.91,-8.99,5.73,-28.1,30.06,1,2,24,7.27,0.67,107.9,-41.5,-28.4,5676,4.44,0
-0.77,-0.41,-0.55,-0.3,-0.39,-0.35,-0.31,-0.25,2.21,86.79,-12.7,17.02,-51.06,55.3,1,2,22,8.37,0.59,-39.8,-100.9,-48,5535.3,3.65,0
0,,,-0.19,-0.03,-0.09,0.17,,301.53,28.92,-61.94,3.7,-46.47,77.52,1,2,21,8.73,0.61,9.7,-15.1,-3.7,,,0
0.16,-0.06,-0.04,0.06,-0.05,0.13,0.08,,203.67,-9.11,115.76,-67.6,-44.13,141.13,1,1,11,8.03,1,-6.2,10.9,-24.9,,,0
-0.09,-0.24,-0.06,0.03,0.03,0,-0.02,0.31,2.22,25.46,-77.03,102.08,43.84,135.18,1,2,28,6.25,0.98,-78.5,-2.8,7.4,4910,2.5,0
-0.11,,,,0.3,0.07,-0.29,0.8,301.55,-4.08,-66.14,2.78,90.01,111.73,1,1,10,6.47,1.16,-7.1,-11.4,-31.1,,,0
-0.26,,,,,,,,203.7,37.18,-35.04,19.34,-22.74,46.04,1,3,32,4.98,0.4,15.7,11.1,3.5,6573,3.69,0
0.05,,,0.06,0.15,0.12,0.08,,2.24,66.46,19.92,-25.26,-16.88,36.33,1,1,12,8.61,0.89,6.8,-64.9,-8.1,5148,,0
0.35,0.47,0.18,0.35,0.38,0.34,0.4,,2.25,-39.74,15.53,-19.28,-49.07,54.97,1,2,20,7.73,0.62,-30.1,-17.4,14.6,6116.5,4.43,0
0.03,-0.03,0.01,0.15,0.09,0.07,0.04,0.48,301.59,35.97,-3.71,0.01,-23.62,23.91,1,1,10,5.36,0.85,43.8,-47.8,-6.4,5132,3.63,0
0.11,-0.05,0.04,0.18,0.23,0.13,0.14,0.56,2.26,18.21,-46.27,56.14,-53.89,90.54,1,2,29,5.57,1.04,-41.2,-46.7,-3.1,4816,2.73,0
0.04,0.01,0.01,0.06,0.05,0.07,0.07,-0.08,301.6,-14.91,-39.73,-0.26,-40.57,56.78,1,2,23,8.12,0.63,1.7,-36.9,3.3,5795,4.33,0
0.22,0.49,0.2,,,,,,2.26,9.85,48.6,-58.76,-34.53,83.71,0,2,25,8.58,0.71,9999,9999,9999,,,0
-0.5,,-0.57,-0.23,-0.49,-0.35,-0.32,,203.8,22.5,37.15,-15.97,-22.54,46.3,1,3,35,6.99,0.47,-62.6,-14,-2.8,6248.5,4.13,0
-0.36,-0.21,0.05,-0.44,-0.26,-0.39,-0.22,0.07,2.33,17.53,-9.01,9.48,-50.14,51.82,1,2,22,7.05,0.64,20.3,-39.2,-1.4,5846,,0
-0.3,0.22,0.15,,,,-0.35,,299.99,-48.98,-0.6,-20.52,71.23,74.13,1,3,38,8.56,0.53,16.5,2.3,10.5,5960,4.5,0
0.06,,0.3,0.03,0.1,0.02,0.06,,2.35,-45.75,5.61,-5.65,-40.46,41.23,1,1,10,3.87,1.01,-8.8,-41.9,16.2,4873.5,2.88,0
0.05,,0,0.17,0.06,0.1,0.08,,2.37,19.12,-46.98,45.95,17.92,68.12,1,2,23,7.96,0.66,-71.7,-56.5,13.6,5677.8,4.08,0
-0.33,-0.15,-0.14,-0.16,-0.29,-0.22,-0.2,-0.5,104.55,22.48,14.09,16.92,-11.59,24.88,1,2,25,6.94,0.62,25.1,14.3,4.5,5708.8,4.25,0
-0.26,-0.43,-0.16,-0.01,-0.06,-0.11,-0.17,0.23,203.88,-5.4,-61.19,20.49,79.18,102.14,1,1,10,5.71,0.95,-14.8,34.5,12.3,4915,2.7,0
0.25,,,,0.12,,0.3,,2.47,8.45,30.84,-24.76,57.91,70.13,1,2,26,8.64,0.72,-17.7,-4.2,-16.4,5706,4.71,0
-0.05,,0.14,0.09,-0.01,-0.04,0.05,,301.79,-0.87,29.28,5.79,-35.68,46.52,1,2,28,8.27,0.73,-7.3,-8.2,-25,5575,4.35,0
0.26,0.13,0.35,0.19,0.21,0.31,0.21,,53.17,35.66,22.77,-5.59,-46.27,51.88,1,3,38,7.3,0.5,-41.7,-17.8,-1.2,6345.3,4.33,0
-0.19,-0.13,-0.14,-0.12,-0.16,-0.1,-0.09,,2.47,-50.27,-40.01,31.79,-0.12,51.1,1,2,22,8.29,0.6,26.4,4.6,-4.5,5999,4.53,1
0.02,,,0.19,0.16,0.14,0.14,,284.13,-48.99,6.05,33.14,109.83,114.88,0,2,28,6.66,0.84,9999,9999,9999,5348,3.44,0
0.26,0.38,0.28,0.32,0.29,0.26,0.37,0.37,301.83,-35.54,-29.39,-7.16,45.22,54.4,1,2,25,7.78,0.74,-32,-59.7,15.2,5640.8,4.17,1
,0.05,-0.1,-0.01,-0.02,0.01,-0.04,,104.66,51.87,0.69,1.04,40.14,40.16,1,2,20,8.04,0.68,-22.9,-24.2,-38.1,5686.5,,0
0.11,,,0.11,0.23,0.17,0.12,,2.51,-82.22,-54.61,40.03,-40.83,79.06,1,1,11,5.29,1.05,15.2,-10.7,-1.2,4840,2.75,0
-0.41,,-0.23,-0.28,-0.36,-0.52,-0.24,-0.21,104.7,26.08,-14.43,-23.75,38.73,47.66,1,3,37,6.21,0.52,-16,32.1,-23.3,6049.1,3.93,0
-0.33,,0.07,0.01,-0.19,-0.18,-0.07,,301.9,-41.02,-60.47,-19.43,11.47,64.54,1,2,25,8.85,0.64,-49.9,-73.2,25.8,5652.3,4.32,0
0.24,0.27,0.11,,,,,,301.91,-20.83,-35.09,-11.67,-84.51,92.25,1,2,23,8.27,0.66,-17.1,-2.6,-15.7,5881,,0
0.11,,0,,,,,,104.75,5.54,-21.67,-39.92,-42.14,61.96,1,2,20,8.67,0.62,-30,-22.5,-6,5990.7,4.45,0
-0.12,,,0.01,-0.14,-0.05,-0.04,-0.09,2.6,-13.98,-8.96,5.44,-67.88,68.68,0,2,22,8.92,0.58,9999,9999,9999,,,0
-0.51,,-0.4,-0.29,-0.49,-0.44,-0.45,,251.44,-0.77,84.03,9.81,-81.24,117.29,1,3,36,8.37,0.56,5.8,-14.4,-54.9,6039.5,4.1,0
-0.04,,,0,0.02,0.05,0.07,,104.79,-7.11,-36.73,-75.8,-91.31,124.22,1,1,11,8.95,1.06,-37.4,-21,-14.6,,,0
0.28,0.2,0.47,0.24,0.25,0.21,0.28,0.28,104.81,-27.13,12.55,26.88,-65.66,72.05,1,2,28,9.9,0.82,-22.1,-22.1,-5.3,5563.5,,0
0.01,0.3,0.15,0.32,0.19,0.05,0.19,0.6,302.01,-0.68,33.19,14.61,-29.21,46.56,1,1,11,5.98,1.02,-8.4,-8.8,-27.7,4791.7,3.16,0
0.21,0.04,0.09,0.24,0.14,0.19,0.17,0.14,302.01,-67.75,15.67,7.01,83.47,85.21,1,2,25,8.9,0.71,11.6,-10.7,-11.4,5733.7,4.48,0
0.07,0.06,-0.02,0.19,0.17,0.08,0.13,0.32,2.68,-12.58,-64.2,32.06,-0.97,71.77,1,1,10,5.87,1,-39.1,-33.8,-19.7,4842.5,3.14,0
-0.2,,-0.1,0,-0.18,-0.09,-0.1,,104.83,-39.59,9.92,22.78,-74.33,78.37,1,2,23,8.81,0.62,-93.6,-54.6,-14.2,5803,4.09,0
0.1,-0.26,-0.18,0.31,0.18,0.21,0.03,0.61,117.93,-21.17,-7.23,60.21,-64.67,88.65,1,2,29,5.62,0.96,-36.7,-16.2,-8.3,4961.3,2.77,0
0.09,,,0.14,0.2,0.14,0.14,,204.28,-44.14,-112.5,-8.06,-18.31,114.27,1,2,28,5.97,0.94,-19.1,-25.6,-0.7,5155.5,3.05,0
0.15,-0.05,0.05,,,,,,302.11,-28.9,-43.96,-24.94,36.45,62.31,1,1,11,9.59,0.76,-34.9,-32,-21.8,5373,,0
-0.28,-0.27,-0.16,-0.24,-0.27,-0.21,-0.22,-0.28,2.82,-15.47,17.25,-5.82,-4.46,18.75,1,3,38,4.89,0.49,18.8,-13.1,-18.1,6197.1,4.12,0
0.36,0.13,0.06,0.1,0.19,0.27,0.25,,2.84,30.45,-18.59,5.71,-28.15,34.22,1,2,29,7.96,0.76,-30,-17.9,2.2,5633,4.66,0
-0.05,0.18,0.14,0.03,0.05,-0.01,-0.05,,302.14,-15.73,-50.28,-30.71,1.28,58.93,1,2,25,8.11,0.67,6.7,-90.6,-74.9,5647,4.21,0
0.21,0.32,0.1,0.25,0.19,0.17,0.21,0.34,105,-61.34,-0.33,-1.33,18.27,18.32,1,2,29,6.8,0.79,-25.4,-18.4,-15.3,5426.5,4.47,0
-0.17,-0.11,-0.07,-0.13,-0.18,-0.07,-0.1,,302.15,-23.59,1.18,0.73,48.47,48.49,1,3,37,7.52,0.52,30.4,-18.6,-8,6192.3,4.47,0
-0.38,-0.08,-0.19,-0.37,-0.29,-0.42,-0.46,-0.11,204.4,41.43,54.34,10.54,-37.39,66.8,1,3,38,8.4,0.51,7.1,-34.8,30.3,6089,4.41,0
-0.26,-0.19,-0.07,-0.28,-0.24,-0.19,-0.15,0.36,2.9,-57.47,-21.69,5.37,-29.59,37.08,1,1,11,9.08,0.89,-7.7,-30.9,-20.3,5089.5,4.36,0
0.37,0.42,0.3,0.41,0.41,0.32,0.38,0.26,302.18,-66.18,-4.97,-3.32,1.27,6.11,1,2,28,3.56,0.75,-46.9,-14.5,-16.3,5546.1,4.26,0
-0.16,0.08,-0.04,-0.25,-0.09,-0.21,-0.3,0.12,302.18,50.59,35.79,23.75,14.28,45.27,1,2,20,7.39,0.57,-21.7,-6.5,-3.9,6022,4.28,0
0.07,-0.18,-0.13,-0.04,-0.18,0.04,-0.02,,302.18,22.15,-93.01,-61.74,-18.27,113.12,1,1,10,7.03,0.96,50,5,-2.1,,,0
-0.05,0.07,-0.05,-0.11,-0.06,0.05,-0.02,,2.93,-35.13,17.46,-3.69,11.58,21.28,1,3,35,5.25,0.46,-24.3,3.1,16.5,6518.9,4.27,0
0.24,0.23,0.14,0.22,0.23,0.27,0.22,0.16,105.08,-5.37,-3.05,-17.99,23.76,29.96,1,2,20,6.3,0.57,-52.7,-20.3,-9.6,6117.8,4.32,1
-0.06,-0.32,-0.25,0.14,0.11,0.02,-0.09,0.58,268.26,-10.9,2.95,8.31,91.57,92,1,1,11,6.17,1.11,-30.3,-10.7,-28.1,,,0
0.11,-0.14,-0.08,-0.02,-0.1,0.1,0.01,,2.95,9.14,113.63,-22.27,33.9,120.66,1,2,25,7.45,0.89,24.5,0.7,-1.9,5190,3.58,0
-0.06,,-1.58,-1.77,,,-2.02,,302.26,42.87,29.23,22.83,-76.05,84.61,1,3,33,10.13,0.51,-171.4,-168.5,13.8,5847.4,4.46,0
-0.13,-0.24,-0.19,-0.03,0.03,-0.07,-0.11,0.25,2.98,-42.17,32.18,-5.13,133.54,137.46,0,1,10,6.53,1.04,9999,9999,9999,4733.5,2.58,0
0.18,0.07,0.5,0.1,0.17,0.17,0.3,,105.12,-41.38,3.41,28.3,17.05,33.21,1,1,12,8.47,0.9,-47,-50.1,1.9,5126,,0
-0.08,-0.11,-0.03,,0.17,-0.14,0.43,,302.27,-26.22,17.95,14.48,-44.36,50,1,3,35,7.18,0.48,-7.9,-15.8,-10.1,6491.5,,0
-0.55,,,-0.28,-0.43,-0.46,-0.41,,204.5,19.15,-44.27,-13.62,14.25,48.46,1,2,24,8.82,0.67,60.2,-41.3,-61.1,5507.9,4.36,0
-0.18,,,-0.07,-0.22,-0.21,-0.16,,204.5,22.53,72.42,22.43,-45.05,88.18,1,2,29,7,0.96,-29.8,-67.6,-40,4840,3.1,0
-0.23,,,-0.06,-0.13,-0.13,-0.27,,302.31,19.07,85.18,73.64,25.6,115.47,1,1,10,6.96,0.85,-10.8,-17.1,-0.6,5105,3.08,0
0.04,,0.12,,,,,,204.51,39.18,-3.97,-1.25,45.2,45.39,1,2,25,7.78,0.7,-17,-61.5,-8.7,5474,4.21,0
-0.01,0.06,-0.02,,0.01,0.05,0.04,-0.07,3.12,20.23,-10.29,0.24,54.7,55.66,1,2,25,8.18,0.67,-33.1,-62.5,19.6,5878.8,4.35,0
0.11,,,,0.04,,0.03,,221.06,-69.67,12.63,28.03,-19.23,36.26,1,3,37,6.99,0.55,-21.4,-4.4,-5.9,6143,4.29,0
0,-0.03,,-0.02,-0.04,0.02,0.09,,204.62,-38.32,-41.57,-18.31,-32.51,55.86,1,2,28,9.12,0.72,-20.1,5.6,-6.1,5537,4.45,0
-0.09,0.12,0.03,0.1,0.01,-0.05,-0.01,,302.39,16.81,-7.87,-8.1,-22.07,24.8,1,2,29,7.56,0.81,-29.5,-15.7,14.2,,,0
-0.22,-0.34,,-0.16,-0.27,-0.07,0.07,,302.4,-14.29,-3.23,-3.39,-31.01,31.36,1,1,15,9.8,1.14,-12.9,-15.7,-9.6,4634,4.41,0
-0.14,,0.18,,,,,,134.03,36.44,-6.59,11.75,-42.42,44.5,1,2,25,8.18,0.71,-40,-49.3,-3.7,5402,4.33,0
0.1,-0.09,,0.1,0.06,0.12,0.45,,302.42,-3.13,-20.9,-22.76,-0.39,30.9,1,1,14,9.59,1.18,12.4,-14.8,24.8,4622,4.21,0
-0.09,-0.02,-0.14,-0.04,-0.09,-0.03,0.04,0.05,3.21,-57.91,-4.22,-0.29,-20.17,20.61,1,1,10,7.23,0.78,9.2,7.5,-1.1,5375,4.41,0
-0.37,-0.25,-0.15,-0.12,-0.22,-0.23,-0.06,-0.09,302.45,-51.72,3.14,3.63,-40.49,40.77,1,2,27,8.39,0.71,67.9,-27,-22.5,5459.5,4.45,0
0.2,0.06,,0.26,0.2,0.22,0.23,0.59,105.31,-25.95,0.64,-10.02,-10.67,14.65,1,1,11,6.69,0.88,-4.6,-14,11.9,5147.2,4.34,0
-0.06,,-0.06,-0.01,-0.03,0.05,0.08,-0.28,302.53,8.44,-19.99,-27.35,50.66,60.95,1,3,37,6.6,0.52,46.2,-29.2,-12.1,6237,3.8,0
0.29,-0.55,0.37,0.07,0.07,0.22,0.47,0.12,3.35,26.99,36.03,7.61,126.14,131.41,1,3,38,6.24,0.68,17.9,-12,-10.6,,,0
0.05,,-0.04,0,-0.02,0.06,-0.01,,105.4,6.93,3.47,-22.25,16.89,28.15,1,1,12,8.14,0.86,7.8,10.1,-3.2,5165.3,4.37,0
0.16,,,,0.14,,0.12,,204.83,-67.67,-3.56,-2.6,34.63,34.9,1,3,39,6.97,0.62,49.2,-6.9,-40.9,5928.5,4.36,0
0.04,,,0.14,0.07,0.05,0.27,0.84,105.41,48.38,-1.04,6.16,-19.09,20.08,1,1,13,8,0.99,22.3,-60.1,27,4914.8,4.44,0
0.19,0.21,0.1,,0.15,,0.16,,204.84,31.77,-54.11,-39.86,25.16,71.76,1,2,20,8.83,0.66,4.8,7.8,14.9,5728,4.3,0
0.28,0.13,-0.08,0.15,0.35,0.14,0.11,0.12,105.45,-56.62,15.59,-76.15,-5.67,77.93,1,3,37,7.71,0.55,-4.2,-7.4,-8.5,6452,,0
-0.2,0.01,0.1,-0.17,-0.09,-0.18,-0.25,0.08,3.44,64.86,49.38,15.4,103.82,115.99,1,2,20,8.09,0.56,-37.4,-9.9,-0.9,6054.4,3.87,0
0.02,,,0.24,0.05,0.13,0.11,-0.07,284.27,1.5,0.41,9.01,128.05,128.37,1,3,35,7.59,0.57,-11.2,-5.1,-8.7,6198.5,,0
-1.29,,-1.19,-0.91,-0.98,-1.03,-1.1,0.17,302.7,23.97,19.2,38.47,-100.79,109.58,1,2,20,8.93,0.49,-31.7,-104.3,90.4,5745.3,3.84,0
-0.6,-0.45,-0.23,-0.28,-0.43,-0.4,-0.3,-0.32,3.52,-11.31,-12.35,-4.89,40.63,42.74,1,2,26,8.38,0.65,-54.4,-79.7,0.2,5611.6,4.46,0
-0.7,,,-0.39,-0.48,-0.49,-0.51,,205,12.59,-81.24,-82.77,2.67,116.01,1,3,39,9.37,0.6,124,-81,-73.6,5738.9,4.08,0
0.21,0.13,0.12,,0.16,0.2,0.3,,3.54,-7.2,-26.44,-11.21,-37.39,47.15,1,3,37,7.32,0.52,-12.7,-22.7,-8.8,6393,4.83,0
0,,,0.1,0.01,0.11,0.1,-0.02,3.55,35.42,44.8,19.63,-56.88,75.02,1,3,35,8.08,0.46,-5,2.4,2,6506,,0
-0.36,-0.53,-0.2,-0.25,-0.25,-0.24,-0.28,-0.06,302.76,21.13,-35.85,-85.05,106.47,140.91,1,1,10,6.24,0.89,-26.6,9.6,-1.8,,,0
0.21,0.15,0.11,0.19,0.18,0.2,0.24,0.02,3.58,-27.53,33.87,16.05,-34.42,50.89,1,2,25,6.46,0.64,24.9,-28.2,-34,5800,,0
-0.1,0.03,-0.01,0.15,0.01,0.02,0.06,0.39,302.78,16.19,-6.87,-16.79,-9.44,20.45,1,1,10,7.32,0.83,-31.5,-27,61.6,5163.4,4.36,0
-0.3,-0.44,-0.23,-0.13,-0.09,-0.18,-0.24,0.22,205.06,31.01,-84.67,-98.63,-55.56,141.36,1,1,10,6.2,0.96,-91.6,16.7,-11.5,5001.5,2.56,0
-0.48,0,-0.13,-0.24,-0.33,-0.31,-0.1,,302.8,-36.1,-0.06,-0.15,6.01,6.01,1,1,12,5.32,0.87,-116.3,-51.6,45.8,,,0
0.1,,,,,,,,105.62,79.16,-14.82,37.59,-29.13,49.81,1,2,20,8.29,0.63,-6,-19.6,-7.5,5905,4.38,0
-0.27,-0.05,-0.18,-0.27,-0.23,-0.18,-0.1,-0.21,205.1,50.52,-15.44,-19.2,6.39,25.45,1,3,38,6.32,0.54,-14.7,-9.3,-11,6149,,0
0.02,,,0,0.06,0.08,0.25,0.31,105.66,15.97,-30.7,70.15,-20.86,79.36,1,2,20,8.24,0.56,-20.4,-18,-10.5,,,0
-0.05,0.02,0.04,-0.15,-0.12,-0.03,0.11,0.83,105.68,-6.8,7.01,-15.06,-9.42,19.09,1,1,14,8.35,1.08,34.2,7.5,-27.7,4688.7,4.35,0
0.1,0.06,-0.01,,0.07,,0.1,,151.11,-7.22,18.17,5.93,-25.91,32.2,1,2,26,7.48,0.69,33.4,-17.8,-4.9,5649,4.51,0
-0.47,-0.32,-0.26,-0.34,-0.35,-0.32,-0.3,,302.88,-64.62,-8.99,-30.62,-144.17,147.65,0,3,38,8.73,0.58,9999,9999,9999,5957.7,4.02,1
0.05,0.06,-0.05,0.08,0.04,0.06,0.1,0.56,300.18,22.71,-2.37,14.67,-13.02,19.75,1,1,12,7.65,0.93,15.7,-12.6,-11.8,5052.2,4.49,1
0.28,,,,0.04,,0.09,,3.81,53.07,57.02,45.16,25.15,76.96,0,1,13,10.4,0.89,9999,9999,9999,5141,4.53,0
0.03,-0.18,-0.14,0.06,0.12,-0.02,0,0.53,205.26,22.5,44.3,78.37,-49.72,102.84,1,1,10,5.58,1.01,2.5,-14.5,4.5,4840.2,2.59,0
0.02,,-0.05,,-0.03,-0.05,0.05,,205.27,-34.46,7.57,13.63,-1.46,15.65,1,1,10,6.92,0.86,9.5,7.8,-16.7,5219.8,4.36,0
-0.03,0.81,,0.07,-0.01,0.02,0.05,0.42,205.31,56.73,-10.6,-20.96,4.24,23.86,1,1,10,7.78,0.83,-5.2,0.1,-10.4,5191.5,4.49,0
-0.18,,-0.07,0.05,-0.18,-0.11,-0.07,,303.04,-77,-0.34,-2.75,-83.69,83.74,1,2,22,8.74,0.61,-36.1,-57.6,-21.8,5960.7,4.23,0
-0.06,0.01,-0.04,-0.04,-0.09,-0.05,-0.07,-0.04,105.88,29.34,-5.45,7.42,-16.54,18.93,1,2,20,5.93,0.6,-18,-77.7,-9.1,5897.9,4.4,0
-0.15,,-0.27,-0.19,-0.26,-0.18,-0.11,,303.11,-12.62,1.57,28.13,-1.44,28.21,1,3,37,5.85,0.48,15.9,-5.7,-41.6,6377.5,4.19,0
0.23,-0.14,0.16,0.14,0.17,0.26,0.37,0.57,3.98,61,22.97,25.47,-128.48,132.98,1,2,20,6.43,0.84,20,-8.6,-4.5,,,0
-0.49,-0.73,,-0.4,-0.42,-0.41,-0.31,,4,-22.42,35.65,41.32,25.06,60.05,0,2,28,9.77,0.74,9999,9999,9999,5293,4.47,0
-0.62,,-0.08,-0.27,-0.46,-0.49,-0.33,,205.43,-62.17,-11.27,-31.06,25.53,41.75,1,1,10,9.14,0.92,-52.2,-35.8,-9.3,5277,4.62,0
-0.58,-0.54,-0.3,-0.46,-0.52,-0.52,-0.49,-0.43,205.43,-4.03,13.81,38.25,49.98,64.43,0,2,20,8.83,0.55,9999,9999,9999,5950.2,4.41,0
-0.21,,,-0.32,-0.25,-0.17,0.22,-0.24,105.96,-43.56,10.17,-11.69,6.94,16.98,1,1,16,8.67,1.18,-54.7,-73.7,-19.7,,,0
-0.12,-0.26,,-0.13,-0.17,-0.02,0.09,,303.17,-13.2,-0.34,32.76,-24.15,40.7,0,1,12,9.89,1.04,9999,9999,9999,4691,4.25,0
0.13,0.12,0.03,0.05,0.09,0.15,0.16,0.12,4.05,-79.85,2.75,3.55,16.91,17.5,1,2,28,6.59,0.75,-31.2,-18.6,0.1,,,1
-0.19,0.05,-0.03,0,-0.11,-0.12,-0.07,-0.15,105.99,-43.61,10.76,-11.65,6.23,17.04,1,2,20,5.28,0.62,-54.1,-75.1,-21.1,5783,4.35,0
-0.25,0.07,-0.06,-0.15,-0.14,-0.23,-0.02,-0.05,106,-43.61,10.85,-11.6,6.18,17.04,1,1,10,6.85,0.78,-50.3,-75.6,-21.2,5324,4.49,0
-0.28,-0.09,0.02,-0.26,-0.2,-0.23,-0.29,-0.08,303.21,16.1,3.53,-72.89,-29.78,78.82,1,3,38,7.73,0.57,8.5,-1.9,7.4,6005.6,3.94,0
0.3,0.34,0.13,0.24,0.24,0.31,0.24,,4.1,-22.59,30.53,43.25,35.97,64,1,2,23,7.9,0.67,0.2,-15.4,-8.8,,,0
-0.11,-0.19,0.07,0.02,0.03,-0.03,-0.02,0.27,18.25,30.06,20.89,-14.35,-113.82,116.61,1,2,28,6.24,0.98,-23.9,8,-34.4,,,0
0.14,0.18,-0.08,0.28,0.14,0.28,0.28,,106.02,75.23,26.89,-27.56,-6.64,39.07,1,3,38,7.12,0.59,-42.5,-18.9,-10.3,6150,,0
-0.04,-0.01,,-0.05,-0.06,-0.05,0.05,-0.03,205.51,-48.47,2.98,11.2,49.74,51.07,1,1,10,9.18,0.78,-23.9,-34.9,-21.5,5373,,0
0.15,-0.23,-0.06,0.18,0.2,0.25,0.16,0.59,4.14,8.24,24.82,38.67,113.01,122,1,2,28,6.13,0.92,18,1.1,-3.5,5048.6,2.67,0
-0.12,-0.12,0.02,-0.11,-0.02,0.01,0.03,-0.16,205.55,8.39,3.94,17.54,30.38,35.3,1,3,35,6.16,0.42,-46,-50.1,-2.7,6548.7,4.17,0
0.38,,,,,,,,218.46,2.58,-6.61,53.11,34,63.41,0,2,26,9.14,0.72,9999,9999,9999,,,0
0.08,,,0.13,0.03,0.08,0.16,,303.32,-82.03,-4.67,29.94,-10.95,32.22,1,1,12,8.45,0.9,-14.8,6.9,-5.2,5103,,0
-0.11,-0.09,,-0.05,-0.08,-0.08,0.06,,303.33,-36.3,-1.34,7.93,45.71,46.41,1,1,11,9.48,0.87,1.2,6,0.7,5093,4.42,0
0.18,0.18,-0.1,0.04,0.16,0.1,0.13,,205.59,-47.25,18.64,99.94,12.9,102.48,1,3,37,8.1,0.59,25.8,6.4,-12.1,6255.5,,0
-0.82,-0.37,-0.37,-0.48,-0.57,-0.53,-0.43,,303.34,-15.43,6.09,-33.39,-9.61,35.28,1,1,12,8.66,0.73,56,-38.1,19.4,5259,4.46,0
-0.5,,-0.38,-0.35,-0.51,-0.39,-0.42,,4.22,-52.65,7.71,14.53,-15.5,22.6,1,2,25,6.85,0.66,-40.2,3.5,-2.2,5654.7,4.47,0
-0.07,-0.21,,-0.06,-0.06,0.12,0.26,,205.61,-1.69,0.47,2.79,-24.39,24.56,1,1,15,9.21,1.19,-35.6,-21.6,-38.5,4528.3,4.22,0
0.23,0.24,0.35,0.24,0.27,0.19,0.2,0.28,303.36,-46.2,9.68,-48.31,-65.09,81.63,1,2,23,8.25,0.67,-28.9,-20.5,14.6,5880,,0
0.22,0.24,-0.15,,,,,,303.38,-1.21,-3.96,18.38,-50.08,53.49,1,2,25,8.53,0.71,-20.5,-25,-11.3,,,0
0.13,-0.27,,0.23,0.25,0.15,0.07,0.72,205.66,78.06,10.12,90.83,47.04,102.79,1,2,27,5.91,1,-31.5,-16.1,-16,4886,2.68,1
-0.2,,,-0.26,-0.2,-0.25,-0.14,,106.21,-16.28,-47.88,33.34,37.96,69.6,1,3,33,8.06,0.47,28.7,-8.5,-5.2,6370.2,4.21,0
-0.26,-0.18,-0.24,-0.2,-0.23,-0.17,-0.17,-0.19,4.32,-43.85,-13.82,-33.29,4.7,36.35,1,2,22,7.98,0.65,-55.2,-37.3,-19.1,5724.3,4.52,0
-0.17,,,-0.08,-0.04,-0.08,-0.08,,205.73,-41.4,4.21,93.4,58.66,110.38,1,1,10,5.97,1.02,-1.1,-44.7,-5.2,4841.5,2.52,0
-0.05,-0.11,,-0.09,-0.06,0.01,0.09,,303.46,-47.62,12.83,-42.41,23.71,50.25,1,1,10,9.5,0.91,12.3,10.4,-3.6,5053.3,4.5,0
-0.54,,-0.07,,,,,,106.27,1.4,10.57,-6.44,70.62,71.69,1,2,22,8.49,0.62,21.8,-89.2,-41,5713,3.92,0
